"","Date","Ratio_Pageviews","Ratio_Clicks","gc_diff","nc_diff"
"1","Sat, Oct 11",0.499773301379623,0.499635833940277,FALSE,FALSE
"2","Sun, Oct 12",0.505057096247961,0.501918158567775,FALSE,TRUE
"3","Mon, Oct 13",0.499261588299748,0.493028443948689,FALSE,FALSE
"4","Tue, Oct 14",0.499898672611207,0.497294046903187,FALSE,FALSE
"5","Wed, Oct 15",0.494421164234866,0.49850209706411,FALSE,TRUE
"6","Thu, Oct 16",0.495565988523735,0.489137181874612,FALSE,FALSE
"7","Fri, Oct 17",0.502210433244916,0.510471204188482,FALSE,FALSE
"8","Sat, Oct 18",0.507616902901047,0.507788161993769,FALSE,FALSE
"9","Sun, Oct 19",0.499260048540816,0.502161383285303,FALSE,TRUE
"10","Mon, Oct 20",0.495959930066626,0.499709471237653,FALSE,TRUE
"11","Tue, Oct 21",0.497430578473434,0.499133448873484,FALSE,FALSE
"12","Wed, Oct 22",0.494665718349929,0.488712629652227,FALSE,FALSE
"13","Thu, Oct 23",0.495515151515152,0.491201224177506,FALSE,TRUE
"14","Fri, Oct 24",0.499150562752177,0.508759124087591,FALSE,FALSE
"15","Sat, Oct 25",0.499481447338096,0.491911764705882,FALSE,FALSE
"16","Sun, Oct 26",0.499578106542161,0.494646680942184,FALSE,FALSE
"17","Mon, Oct 27",0.503126628452319,0.503921568627451,FALSE,FALSE
"18","Tue, Oct 28",0.500879577802655,0.5,TRUE,TRUE
"19","Wed, Oct 29",0.498251654204099,0.495907230559345,TRUE,TRUE
"20","Thu, Oct 30",0.499008202433925,0.497948016415869,TRUE,FALSE
"21","Fri, Oct 31",0.495029821073559,0.505602240896359,TRUE,TRUE
"22","Sat, Nov 1",0.499645138396026,0.505087209302326,FALSE,TRUE
"23","Sun, Nov 2",0.5,0.510938602681722,FALSE,TRUE
"24","Mon, Nov 3",0.497925090444776,0.500317057704502,FALSE,FALSE
"25","Tue, Nov 4",0.500185705947896,0.48753280839895,FALSE,FALSE
"26","Wed, Nov 5",0.501640368692392,0.500929944203348,FALSE,FALSE
"27","Thu, Nov 6",0.498001315589738,0.500301023479831,FALSE,FALSE
"28","Fri, Nov 7",0.495934959349593,0.495478036175711,FALSE,FALSE
"29","Sat, Nov 8",0.498859780855442,0.50131926121372,FALSE,FALSE
"30","Sun, Nov 9",0.50105926729706,0.507462686567164,FALSE,FALSE
"31","Mon, Nov 10",0.500623082822086,0.493333333333333,FALSE,FALSE
"32","Tue, Nov 11",0.501287163696936,0.500301023479831,FALSE,FALSE
"33","Wed, Nov 12",0.497720063441713,0.500311915159077,FALSE,FALSE
"34","Thu, Nov 13",0.500102891243955,0.504564820450396,FALSE,FALSE
"35","Fri, Nov 14",0.5030276816609,0.511627906976744,FALSE,FALSE
"36","Sat, Nov 15",0.501098392877789,0.493524199045671,FALSE,FALSE
"37","Sun, Nov 16",0.500501169395256,0.495810055865922,FALSE,FALSE
